Potencia_CV,Consumo_Cidade_KmL,Consumo_Estrada_KmL,Preco_R$,Tipo_Cambio,Combustivel
209.8,30.0,36.4,79390.71,Automático,Diesel
171.7,30.0,37.8,65589.41,Automático,Gasolina
218.9,30.0,36.7,81087.91,Automático,Flex
271.4,30.0,37.1,117581.51,Manual,Flex
166.0,30.0,40.0,68015.42,Automático,Gasolina
166.0,30.0,39.5,72319.14,Manual,Flex
274.8,29.2,34.5,102233.01,Automático,Gasolina
226.0,30.0,38.7,96305.98,Manual,Flex
151.8,30.0,38.7,70412.43,Automático,Flex
212.6,30.0,35.8,81142.12,Automático,Flex
152.2,30.0,38.7,61556.13,Automático,Flex
152.1,30.0,39.8,58572.98,Automático,Diesel
194.5,30.0,35.8,108614.76,Manual,Flex
75.0,30.0,36.1,39623.36,Automático,Gasolina
76.5,30.0,39.0,57040.48,Automático,Gasolina
146.3,30.0,37.9,57807.19,Automático,Flex
119.2,30.0,38.3,59958.15,Automático,Híbrido
198.9,30.0,38.0,87117.5,Automático,Diesel
125.5,30.0,38.1,58696.88,Automático,Diesel
95.3,30.0,35.5,70049.95,Manual,Gasolina
267.9,28.0,36.6,102563.94,Automático,Flex
166.5,30.0,39.3,62659.57,Manual,Flex
184.1,30.0,37.2,78556.64,Manual,Gasolina
94.5,30.0,37.4,49148.09,Automático,Gasolina
147.3,30.0,35.2,63126.05,Automático,Híbrido
186.7,30.0,38.3,70646.4,Automático,Gasolina
110.9,30.0,38.4,48850.12,Manual,Gasolina
202.5,30.0,37.4,77632.08,Manual,Gasolina
144.0,30.0,39.2,58963.43,Automático,Híbrido
162.5,30.0,37.0,70236.97,Manual,Flex
143.9,30.0,38.3,67037.5,Automático,Flex
291.1,26.3,31.4,109006.92,Manual,Híbrido
179.2,30.0,37.5,70913.97,Manual,Gasolina
116.5,30.0,37.2,46923.7,Automático,Flex
229.4,30.0,37.8,85487.79,Automático,Gasolina
106.7,30.0,36.9,55658.72,Automático,Gasolina
192.5,30.0,37.3,94382.9,Automático,Diesel
75.0,30.0,38.7,33874.04,Manual,Flex
100.3,30.0,36.8,52022.32,Automático,Gasolina
191.8,30.0,35.1,92863.89,Automático,Gasolina
224.3,30.0,40.1,100223.89,Automático,Flex
190.3,30.0,39.6,71617.61,Manual,Gasolina
173.1,30.0,35.6,94873.6,Automático,Gasolina
161.9,30.0,38.5,64403.72,Automático,Gasolina
91.3,30.0,36.7,39094.69,Automático,Gasolina
136.8,30.0,37.9,51527.92,Manual,Diesel
152.4,30.0,37.9,62985.29,Manual,Gasolina
243.4,30.0,37.1,89353.83,Automático,Gasolina
200.6,30.0,36.3,76073.35,Automático,Flex
75.0,30.0,36.5,33061.76,Automático,Diesel
199.4,30.0,36.1,89351.49,Automático,Gasolina
156.9,30.0,36.3,78746.86,Automático,Gasolina
139.4,30.0,37.4,55386.68,Manual,Gasolina
216.7,30.0,36.4,98413.77,Automático,Flex
241.9,30.0,38.5,107116.26,Manual,Flex
235.9,29.6,39.2,100192.84,Automático,Diesel
129.6,30.0,36.6,49962.82,Manual,Híbrido
161.4,30.0,37.9,71228.79,Manual,Flex
199.9,30.0,38.2,101965.13,Automático,Flex
238.5,30.0,38.2,97960.5,Automático,Flex
151.2,30.0,37.6,59966.28,Automático,Gasolina
